al	Density=2.6989	Thickness=0.5	microns
Photon	Energy	"(eV),"	Transmission
10	3.06E-29		
10.18	4.02E-28		
10.36	4.58E-27		
10.54	4.57E-26		
10.72	4.03E-25		
10.9	3.16E-24		
11.08	2.08E-23		
11.26	1.01E-22		
11.44	3.89E-22		
11.62	1.42E-21		
11.8	4.90E-21		
11.98	1.61E-20		
12.16	5.05E-20		
12.34	1.52E-19		
12.52	4.36E-19		
12.7	1.63E-18		
12.88	6.14E-18		
13.06	2.19E-17		
13.24	7.52E-17		
13.42	2.80E-16		
13.6	1.19E-15		
13.78	5.10E-15		
13.96	2.42E-14		
14.14	1.09E-13		
14.32	6.70E-13		
14.5	1.20E-11		
14.68	2.27E-09		
14.86	4.90E-07		
15.04	2.41E-05		
15.22	3.54E-04		
15.4	2.06E-03		
15.58	4.79E-03		
15.76	8.72E-03		
15.94	1.40E-02		
16.12	2.13E-02		
16.3	3.16E-02		
16.48	4.53E-02		
16.66	6.25E-02		
16.84	7.70E-02		
17.02	9.06E-02		
17.2	0.10517		
17.38	0.11976		
17.56	0.13405		
17.74	0.14489		
17.92	0.15602		
18.1	0.16741		
18.28	0.17904		
18.46	0.19087		
18.64	0.20289		
18.82	0.21566		
19	0.22885		
19.18	0.24222		
19.36	0.25568		
19.54	0.2692		
19.72	0.28276		
19.9	0.29633		
20.08	0.30832		
20.26	0.31978		
20.44	0.32072		
20.62	0.32164		
20.8	0.32256		
20.98	0.32347		
21.16	0.32438		
21.34	0.32527		
21.52	0.32616		
21.7	0.32705		
21.88	0.32792		
22.06	0.32879		
22.24	0.32965		
22.42	0.33051		
22.6	0.33136		
22.78	0.3322		
22.96	0.33303		
23.14	0.33287		
23.32	0.33203		
23.5	0.33048		
23.68	0.32829		
23.86	0.32612		
24.04	0.32396		
24.22	0.32183		
24.4	0.31971		
24.58	0.31761		
24.76	0.31553		
24.94	0.31346		
25.12	0.31141		
25.3	0.30938		
25.48	0.30755		
25.66	0.30583		
25.84	0.30462		
26.02	0.3042		
26.2	0.30379		
26.38	0.30337		
26.56	0.30296		
26.74	0.30256		
26.92	0.30215		
27.1	0.30175		
27.28	0.30135		
27.46	0.30096		
27.64	0.30056		
27.82	0.30017		
28	0.29979		
28.18	0.2994		
28.36	0.29902		
28.54	0.29864		
28.72	0.29826		
28.9	0.29788		
29.08	0.29751		
29.26	0.29714		
29.44	0.29677		
29.62	0.29641		
29.8	0.29604		
29.98	0.29568		
30.16	0.29532		
30.34	0.29497		
30.52	0.29461		
30.7	0.29426		
30.88	0.29391		
31.06	0.29356		
31.24	0.29321		
31.42	0.29287		
31.6	0.29253		
31.78	0.29219		
31.96	0.29185		
32.14	0.29151		
32.32	0.29124		
32.5	0.29108		
32.68	0.29093		
32.86	0.29109		
33.04	0.29168		
33.22	0.29226		
33.4	0.29283		
33.58	0.29341		
33.76	0.29398		
33.94	0.29455		
34.12	0.29511		
34.3	0.29568		
34.48	0.29624		
34.66	0.29679		
34.84	0.29735		
35.02	0.2979		
35.2	0.29845		
35.38	0.299		
35.56	0.29954		
35.74	0.30008		
35.92	0.30062		
36.1	0.30116		
36.28	0.30169		
36.46	0.30223		
36.64	0.30275		
36.82	0.30328		
37	0.30381		
37.18	0.30433		
37.36	0.30485		
37.54	0.30536		
37.72	0.30588		
37.9	0.30639		
38.08	0.3069		
38.26	0.30741		
38.44	0.30791		
38.62	0.30842		
38.8	0.30892		
38.98	0.30942		
39.16	0.30992		
39.34	0.31041		
39.52	0.3109		
39.7	0.31139		
39.88	0.31188		
40.06	0.31237		
40.24	0.31285		
40.42	0.31335		
40.6	0.31393		
40.78	0.3145		
40.96	0.31508		
41.14	0.31587		
41.32	0.31685		
41.5	0.31782		
41.68	0.31878		
41.86	0.31975		
42.04	0.32071		
42.22	0.32166		
42.4	0.32261		
42.58	0.32356		
42.76	0.32451		
42.94	0.32545		
43.12	0.32638		
43.3	0.32732		
43.48	0.32825		
43.66	0.32917		
43.84	0.3301		
44.02	0.33102		
44.2	0.33193		
44.38	0.33284		
44.56	0.33375		
44.74	0.33466		
44.92	0.33556		
45.1	0.33646		
45.28	0.33735		
45.46	0.33825		
45.64	0.33913		
45.82	0.34002		
46	0.3409		
46.18	0.34178		
46.36	0.34265		
46.54	0.34353		
46.72	0.3444		
46.9	0.34526		
47.08	0.34612		
47.26	0.34698		
47.44	0.34803		
